kingdom	phylum	class	order_	family	v_kingdom	v_phylum	v_class	v_order	v_family	v_genus	kingdomkey	phylumkey	orderkey	classkey	familykey	scientificname	v_scientificname	publisher_rank	taxonrank	occ_count	n_dataset	n_publisher	datasetkeys
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Parmelia	5					Fungi	Parmelia rudecta	SPECIES	KINGDOM	214	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	miconia	6	7707728	690	220	6683	Melastomataceae	Melastomataceae miconia tomentosa (Rich.) D.Don ex DC.	SPECIES	FAMILY	208	5	1	339e9de5-ee9a-4718-8837-0bc5b4f933f5;9118eee0-42d2-4a27-9ae0-78d49d163a5b;f5d836d5-cb15-4178-8f57-68ef1d6551e9;a185d0c4-1a12-45c1-a729-2a7b058b528d;ebed4456-76d2-408c-8467-fd66be066521
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Peltigera	5					Fungi	Peltigera polydactyla	SPECIES	KINGDOM	207	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Rhodophyta	Rhodophyceae			Plantae		Rhodophyceae		Rhodophyceae inc. sed.	Gelidium	6	106		8029077		Rhodophyceae	Gelidium crinale (Turner) J.V.Lamour.	SPECIES	CLASS	207	1	1	15f819bd-6612-4447-854b-14d12ee1022d
Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Talinaceae					talinaceae	Talinum	6	7707728	422	220	4055896	Talinaceae	talinaceae Talinum paniculatum (Jacq.) Gaertn.	SPECIES	FAMILY	206	17	1	5c9a924c-8d45-4452-8604-415a118578aa;7b4d8842-03d4-40e6-b9b1-02274ed48548;e257fa65-598c-4f11-b03e-dfeba1191db8;6cb1a437-f8a6-4bdc-a534-87cf2b710427;ba06a193-82fc-425b-a7e5-f3df809fe378;af6e6436-2507-43e7-b884-6838f655e14a;0638cd34-da37-48f0-8dbe-2a2999905bc5;9b511323-32c7-4d5e-8042-5356a08aa32b;e7b96ed9-da1c-4eec-a481-281b1b319e48;e6694e54-1cd6-4527-a26e-387518ea550a;af0ac0ba-b895-47a2-ac64-30517f109c33;b4a9aba3-9d66-4bdd-8e4b-ab42b11e69fd;7fde5656-64fd-4442-ae89-60becebc29a6;9118eee0-42d2-4a27-9ae0-78d49d163a5b;f5d836d5-cb15-4178-8f57-68ef1d6551e9;15e887a4-973c-4b84-b421-ca65584a4c75;a185d0c4-1a12-45c1-a729-2a7b058b528d
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Physcia	5					Fungi	Physcia stellaris	SPECIES	KINGDOM	206	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	tibouchina	6	7707728	690	220	6683	Melastomataceae	Melastomataceae tibouchina pulchra (Cham.) Cogn.	SPECIES	FAMILY	199	9	1	02cb399f-3283-49fa-bce0-627c7f83083f;5c9a924c-8d45-4452-8604-415a118578aa;f68d90e0-46dd-4ac4-acac-ade9d2645886;1aedcdff-24f2-4925-8e55-23eeef236b0d;7fde5656-64fd-4442-ae89-60becebc29a6;9118eee0-42d2-4a27-9ae0-78d49d163a5b;f5d836d5-cb15-4178-8f57-68ef1d6551e9;339e9de5-ee9a-4718-8837-0bc5b4f933f5;a185d0c4-1a12-45c1-a729-2a7b058b528d
Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Peltoschema	1	54	1470	216	7780	Chrysomelidae	Peltoschema orphana	SPECIES	FAMILY	197	7	7	84a649ce-ff81-420d-9c41-aa1de59e3766;50c9509d-22c7-4a22-a47d-8c48425ef4a7;e3ce628e-9683-4af7-b7a9-47eef785d3bb;4ffe66a0-6c8b-11de-8226-b8a03c50a862;b6465deb-2071-445a-9ebd-d5722e1ed7e2;2a796d4b-d12f-4806-876a-4fbb5e0a63ca;a79c2b50-6c8a-11de-8226-b8a03c50a862
Plantae	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Protoctista				Rhodomelaceae	Ahnfeltiopsis	6	106	665	342	4895	Rhodomelaceae	Ahnfeltiopsis concinna	SPECIES	FAMILY	195	1	1	b929f23d-290f-4e85-8f17-764c55b3b284
Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae					Sapindaceae	allophylus	6	7707728	933	220	6657	Sapindaceae	Sapindaceae allophylus edulis (a.st.-hil., a.juss. & cambess.) hieron. ex niederl.	SPECIES	FAMILY	188	5	1	339e9de5-ee9a-4718-8837-0bc5b4f933f5;f5d836d5-cb15-4178-8f57-68ef1d6551e9;a7f1d343-b5cd-4890-bd44-72dfd4b6afb7;53287502-980d-41a8-b9f0-0f3a5bcb6555;a185d0c4-1a12-45c1-a729-2a7b058b528d
Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae					Malvaceae	sida	6	7707728	941	220	6685	Malvaceae	Malvaceae sida linifolia juss. ex cav.	SPECIES	FAMILY	185	4	1	c0a459c6-2ae7-4890-a1e4-38e24e671269;cde44dc3-3b14-49d9-840b-5073d5284e9e;9118eee0-42d2-4a27-9ae0-78d49d163a5b;f5d836d5-cb15-4178-8f57-68ef1d6551e9
Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae					Primulaceae	myrsine	6	7707728	1353	220	6674	Primulaceae	Primulaceae myrsine coriacea (sw.) r. br. ex roem & schult.	SPECIES	FAMILY	182	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae					Melastomataceae	miconia	6	7707728	690	220	6683	Melastomataceae	Melastomataceae miconia hyemalis st. hil. & naudin ex naudin	SPECIES	FAMILY	175	1	1	5c9a924c-8d45-4452-8604-415a118578aa
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					leguminosae subfam. caesalpinioideae (mimosoide)	Anadenanthera	6	7707728	1370	220	5386	Leguminosae	leguminosae subfam. caesalpinioideae (mimosoide) Anadenanthera colubrina (Vell.) Brenan	SPECIES	FAMILY	173	1	1	6cb1a437-f8a6-4bdc-a534-87cf2b710427
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Evernia	5					Fungi	Evernia mesomorpha	SPECIES	KINGDOM	173	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae	Aphipoea	1	54	797	216	7015	Noctuidae	Aphipoea oculea (Linnaeus 1761)	SPECIES	FAMILY	173	1	1	f3130a8a-4508-42b4-9737-fbda77748438
Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Peltoschema	1	54	1470	216	7780	Chrysomelidae	Peltoschema hamadryas	SPECIES	FAMILY	171	6	6	fa375330-6c8a-11de-8226-b8a03c50a862;50c9509d-22c7-4a22-a47d-8c48425ef4a7;4ffe66a0-6c8b-11de-8226-b8a03c50a862;39905320-6c8a-11de-8226-b8a03c50a862;b6465deb-2071-445a-9ebd-d5722e1ed7e2;a79c2b50-6c8a-11de-8226-b8a03c50a862
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					Fabaceae	rhynchosia	6	7707728	1370	220	5386	Fabaceae	Fabaceae rhynchosia corylifolia Benth.	SPECIES	FAMILY	171	1	1	4bda7e86-c7c0-440e-bed4-bde6c52a28c2
Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae					leguminosae subfam. detarioideae	Copaifera	6	7707728	1370	220	5386	Leguminosae	leguminosae subfam. detarioideae Copaifera langsdorffii Desf.	SPECIES	FAMILY	167	1	1	6cb1a437-f8a6-4bdc-a534-87cf2b710427
Plantae	Tracheophyta	Magnoliopsida	Rosales	Rhamnaceae					Rhamnaceae	sarcomphalus	6	7707728	691	220	2407	Rhamnaceae	Rhamnaceae sarcomphalus joazeiro (mart.) hauenschild	SPECIES	FAMILY	166	1	1	6cb1a437-f8a6-4bdc-a534-87cf2b710427
Fungi					Fungi	Lichens	Lichens	Lichens	Lichens Family Rank	Sphaerophorus	5					Fungi	Sphaerophorus globosus	SPECIES	KINGDOM	166	1	1	c8d12f8a-7e39-4e2c-92d7-825d590ad15b
Animalia	Arthropoda	Collembola	Symphypleona	Sminthuridae	Animalia	Arthropoda	Entognatha	Collembola	Sminthuridae	Jordanathrix	1	54	10730025	10713444	5844	Sminthuridae	Jordanathrix auriculata (Ellis, 1974)	SPECIES	FAMILY	166	1	1	5cc85d78-4313-4959-b17d-cd3dc32cc155
